accountsservice 0.6.55-1
ntfs-3g 2017.3.23-3
numlockx 1.2-4
ob-autostart 1-3
obconf 2.0.4-6
obkey-gtk3 1.0.47.gcf99076-1
obmenu-generator 0.84-1
openbox 3.6.1-4
opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.1-1
openresolv 3.9.1-1
openssh 8.0p1-1
openssl 1.1.1.c-1
openvpn 2.4.7-1
opus 1.3.1-1
orc 0.4.29-1
os-prober 1.77-1
p11-kit 0.23.16.1-1
p7zip 16.02-5
package-query 1.9-2
pacman 5.1.3-1
pacman-mirrors 4.14.2-1
pacui 1.12-1
pam 1.3.1-1
pamac-cli 8.0.3-5
pamac-common 8.0.3-5
pamac-gtk 8.0.3-5
pambase 20190105.1-1
pamixer 1.4-1
pango 1:1.44.1-1
pango-perl 1.227-11
pangomm 2.42.0-1
papirus-icon-theme 20190720-1
papirus-maia-icon-theme 20190726-1
partclone 0.3.11-1
parted 3.2-9.1
partimage 0.6.9-12
patch 2.7.6-7
pavucontrol 1:4.0-1
pbzip2 1.1.13-2
pciutils 3.6.2-1
pcmanfm-gtk3 1.3.1-1
pcre 8.43-1
pcre2 10.33-1
perl 5.30.0-3
perl-alien-build 1.79-1
perl-alien-libxml2 0.09-2
perl-capture-tiny 0.48-2
perl-clone 0.41-3
perl-data-dump 1.23-5
perl-dbi 1.642-3
perl-encode-locale 1.05-5
perl-error 0.17027-2
perl-ffi-checklib 0.25-1
perl-file-chdir 0.1011-3
perl-file-listing 6.04-6
perl-file-which 1.23-2
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.04-4
perl-http-daemon 6.01-7
perl-http-date 6.02-6
perl-http-message 6.18-3
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-libwww 6.39-2
perl-linux-desktopfiles 0.25-2.0
perl-lwp-mediatypes 6.02-6
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-path-tiny 0.108-2
perl-timedate 2.30-6
perl-try-tiny 0.30-3
perl-uri 1.76-2
perl-www-robotrules 6.02-6
perl-xml-libxml 2.0201-2
perl-xml-namespacesupport 1.12-3
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-3
pigz 2.4-1
pinentry 1.1.0-4
pix 2.2.1-1
pixman 0.38.4-1
pixz 1.0.6-2
pkcs11-helper 1.25.1-1
pkgconf 1.6.3-1
playerctl 2.0.2-2
polkit 0.116-1.1
polkit-gnome 0.105-4
polkit-qt5 0.112.0+git20180107-2
polybar 3.4.0-2
poppler 0.79.0-1
poppler-data 0.4.9-1
poppler-glib 0.79.0-1
popt 1.16-10
procps-ng 3.3.15-1.2
progsreiserfs 0.3.0.5-9
ps_mem 3.12-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pygobject-devel 3.32.2-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
pyqt5-common 5.13.0-1
python 3.7.3-2
python-appdirs 1.4.3-2
python-cairo 1.18.1-1
python-chardet 3.0.4-2
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-decorator 4.4.0-1
python-docopt 0.6.2-5
python-gobject 3.32.2-1
python-idna 2.8-1
python-keyutils 0.5-3
python-npyscreen 4.10.5-2
python-packaging 19.0-1
python-pexpect 4.7.0-1
python-psutil 5.6.3-1
python-ptyprocess 0.6.0-2
python-pycups 1.9.74-1
python-pycurl 7.43.0.3-1
python-pyparsing 2.4.0-1
python-pyqt5 5.13.0-1
python-requests 2.22.0-1
python-setproctitle 1.1.10-3
python-setuptools 1:41.0.1-1
python-sip-pyqt5 4.19.18-1
python-six 1.12.0-1
python-slip 0.6.5-2
python-urllib3 1.25.3-1
python-xapp 1.6.0-1
python-xdg 0.26-2
python-yaml 5.1.1-1
python2 2.7.16-1
python2-cairo 1.18.1-1
python2-dbus 1.2.8-2
python2-gobject 3.32.2-1
python2-gobject2 2.28.7-2
python2-psutil 5.6.3-1
python2-pyparted 3.11.1-3
python2-xapp 1.6.0-1
python2-xdg 0.26-2
qpdf 8.4.2-1
qt5-base 5.13.0-7.1
qt5-declarative 5.13.0-1
qt5-location 5.13.0-1
qt5-script 5.13.0-1
qt5-sensors 5.13.0-1
qt5-svg 5.13.0-1
qt5-webchannel 5.13.0-1
qt5-webkit 5.212.0alpha3-3
qt5-x11extras 5.13.0-1
qt5ct 0.39-2
ranger 1.9.2.212.g5ae67755-1
raptor 2.0.15-11
rasqal 1:0.9.33-2
re2 20190701-1
readline 8.0.0-1
redland 1:1.0.17-7
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rofi 1.5.4-1
rpcbind 1.2.5-2
rsync 3.1.3-1
rtkit 0.12-1
rubberband 1.8.2-2
run-parts 4.8.6.1-1
s-nail 14.9.13-2
screen 4.6.2-1
scrot 0.9.1-1
sdl2 2.0.10-1
sed 4.7-1
shaderc 2019.0-1
shadow 4.6-3
shared-mime-info 1.12-1
skippy-xd 2016.10.20.r0.g72d1ddf-1
slang 2.3.2-1
smbclient 4.10.6-1
smplayer 19.5.0-1
smplayer-skins 1:15.2.0-2
smplayer-themes 1:18.6.0-1
smtube 19.6.0-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
spectre-meltdown-checker 0.42-1
speex 1.2.0-2
speexdsp 1.2.0-1
spirv-tools 2019.3-2
splix 2.0.0-14
sqlite 3.29.0-1
sshfs 3.5.2-1
st-manjaro 1:0.8.2.r12.gf1546cf-2
startup-notification 0.12-6
sudo 1.8.27-1
suitesparse 5.4.0-1
synapse 0.2.99.4-1
sysfsutils 2.1.0-10
system-config-printer 1.5.11-4
systemd 242.84-1
systemd-fsck-silent 239-1
systemd-libs 242.84-1
systemd-sysvcompat 242.84-1
taglib 1.11.1-3
talloc 2.2.0-1
tar 1.32-1
tdb 1.3.18-2
telepathy-glib 0.24.1-2
terminus-font 4.47-2
termite 15-1
termite-terminfo 15-1
testdisk 7.0-5
tevent 1:0.9.39-2
texinfo 6.6-1
thin-provisioning-tools 0.8.5-2
thunar-archive-plugin-gtk3 0.4.0-2
thunar-gtk3 1.8.8-3
thunar-media-tags-plugin 0.3.0-1
thunar-volman-gtk3 0.9.0-1
thunderbird 60.8.0-1
timeshift 19.01-1
tint2 16.7-1
tlp 1.2.2-1.1
tlpui r109.703bade-1
traceroute 2.1.0-2
tree 1.8.0-1
tslib 1.20-1
ttf-dejavu 2.37-2
ttf-font-awesome 5.9.0-1
ttf-font-logos 0.10-4
ttf-icomoon-icons 1.0-1
ttf-material-icons r124.224895a86-1
ttf-polybar-icons 1.0-1
ttf-roboto 2.138-1
tumbler 0.2.6-1
tzdata 2019b-1
uchardet 0.0.6-2
udiskie 1.7.7-1
udisks2 2.8.4-1
unace 2.5-10
unarchiver 1.10.1-7
unarj 2.63a-5
unrar 1:5.7.5-1
unzip 6.0-13
upower 0.99.10-1
usbmuxd 1.1.0+48+g1cc8b34-3
usbutils 010-1
util-linux 2.34-3
v4l-utils 1.16.6-1
v86d 0.1.10-5.1
vamp-plugin-sdk 2.8.0-1
vi 1:070224-3
vid.stab 1.1-2
volume_key 0.3.11-2
volumeicon 0.5.1-4
vte-common 0.56.3-1
vte3 0.56.3-1
vulkan-icd-loader 1.1.115-1
w3m 0.5.3.git20190105-1
wayland 1.17.0-1
wayland-protocols 1.18-1
webkit2gtk 2.24.3-1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-3
whois 5.5.0-1
wireless-regdb 2019.03.01-1
wireless_tools 30.pre9-2
wmctrl 1.07-5
woff2 1.0.2-1
wpa_supplicant 2:2.8-1
x264 2:157.r72db4377-1
x265 3.1.1-1
xapian-core 1:1.4.11-1
xapps 1.4.8-1
xbitmaps 1.1.2-1
xcape 1.2-3
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
